,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2005,14,14,0,0,0,0,39,221,15.79,66.77,4,0
1,2006,12,12,1,0,3,0,92*,466,42.36,84.88,6,0
2,2007,33,32,5,3,8,5,146,1209,44.78,92.29,20,0
3,2008,17,14,2,0,3,0,77,434,36.17,78.34,15,0
4,2009,17,17,3,1,6,0,121,762,54.43,92.81,12,0
5,2010,16,16,4,5,4,0,114*,964,80.33,102.12,22,1
6,2011,10,10,1,2,2,0,134,467,51.89,104.94,7,1
7,2012,13,12,6,2,3,0,125*,645,107.5,108.59,23,1
8,2013,27,26,3,3,7,1,128,1163,50.57,97.08,25,0
9,2014,16,16,4,2,6,0,136*,879,73.25,114.45,8,0
10,2015,20,18,3,5,5,0,162*,1193,79.53,137.92,17,2
11,2016,11,10,2,1,1,0,101*,339,42.38,90.64,7,0
12,2017,19,18,5,1,5,1,176,773,59.46,116.94,9,0
13,2018,3,3,0,0,0,0,30,62,20.67,105.08,1,0
14,Overall (14),228,218,39,25,53,7,176,9577,53.5,101.1,176,5
