,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,1,1,0,0,0,0,32,32,32.0,49.23,0,0
1,1991,4,4,0,0,1,0,91,106,26.5,58.24,2,0
2,1992,22,22,0,1,3,1,114,598,27.18,63.75,5,0
3,1993,13,13,0,0,3,0,87,409,31.46,54.03,3,0
4,1994,28,28,1,2,6,1,134,1053,39.0,72.57,8,0
5,1995,17,16,0,0,4,2,85,484,30.25,,4,0
6,1996,30,30,1,2,7,2,111,1090,37.59,65.5,13,0
7,1997,15,15,1,0,4,3,71*,313,22.36,60.08,7,0
8,1998,19,19,2,0,3,1,97*,566,33.29,65.36,6,0
9,1999,4,4,0,0,0,0,21,53,13.25,43.8,1,0
10,2000,3,3,0,0,0,0,47,76,25.33,67.26,0,0
11,Overall (11),156,155,5,5,31,10,134,4780,31.87,65.43,49,0
