,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1988,3,1,0,0,0,1,0,0,0.0,,0,0
1,1989,20,3,3,0,0,0,1*,2,,,5,0
2,1990,12,4,2,0,0,1,1,1,0.5,8.33,3,0
3,1991,8,3,1,0,0,0,4,7,3.5,35.0,0,0
4,1992,25,7,5,0,0,0,8,24,12.0,38.1,2,0
5,1993,20,6,3,0,0,2,6*,17,5.67,43.59,1,0
6,1994,15,2,1,0,0,0,17,18,18.0,62.07,0,0
7,1995,18,10,7,0,0,1,21,75,25.0,77.32,5,0
8,1996,13,6,2,0,0,0,45*,93,23.25,70.99,3,0
9,1997,18,7,1,0,0,2,11,28,4.67,71.79,2,0
10,1998,11,2,1,0,0,0,1*,2,2.0,15.38,3,0
11,Overall (11),163,51,26,0,0,7,45*,267,10.68,58.55,24,0
