,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,2,1,1,0,0,0,0*,0,,,0,0
1,1997,2,1,0,0,0,0,8,8,8.0,,0,0
2,1998,9,8,1,0,0,2,46*,93,13.29,61.59,1,0
3,1999,18,16,4,0,4,1,60,367,30.58,55.11,2,0
4,2000,38,32,8,0,3,3,75*,661,27.54,79.16,4,0
5,2001,20,17,1,0,2,0,75,384,24.0,56.47,3,0
6,2002,30,26,7,1,3,3,112,675,35.53,87.44,5,0
7,2003,30,26,8,0,2,1,76*,600,33.33,103.63,6,0
8,2004,26,24,9,1,3,0,107*,640,42.67,102.07,5,0
9,2005,26,23,3,0,3,3,88,520,26.0,88.74,3,0
10,2006,23,19,7,0,2,0,75*,455,37.92,77.65,0,0
11,2007,7,5,0,0,0,0,27,62,12.4,65.26,2,0
12,2009,6,6,0,0,0,1,35,125,20.83,76.69,2,0
13,2010,11,11,5,1,0,0,109*,331,55.17,108.52,0,0
14,2011,17,13,3,0,1,0,62,159,15.9,79.5,2,0
15,Overall (15),265,228,57,3,23,14,112,5080,29.71,81.25,35,0
