,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,5,5,2,0,0,0,21,39,13.0,79.59,0,0
1,2005,1,1,0,0,0,1,0,0,0.0,,0,0
2,2006,26,12,7,0,0,0,21,86,17.2,74.78,8,0
3,2007,23,16,8,0,0,2,28*,117,14.63,,5,0
4,2008,26,19,6,0,0,2,33,225,17.31,67.16,7,0
5,2009,8,5,2,0,0,2,11*,20,6.67,68.97,3,0
6,2010,22,12,5,0,0,0,27,76,10.86,74.51,2,0
7,2011,18,12,3,0,0,3,35,87,9.67,77.68,2,0
8,2012,9,5,0,0,0,1,6,13,2.6,54.17,3,0
9,2013,9,6,4,0,1,0,53*,95,47.5,172.73,1,0
10,2014,6,4,3,0,0,1,16*,21,21.0,65.63,1,0
11,Overall (11),153,97,40,0,1,12,53*,779,13.67,,32,0
