,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1992,8,6,1,0,0,0,20,78,15.6,56.52,9,3
1,1994,19,17,3,1,5,0,108,728,52.0,68.23,17,3
2,1995,15,15,3,0,1,1,61*,305,25.42,77.41,4,2
3,1996,20,20,2,0,4,3,93,627,34.83,69.05,3,0
4,1997,17,17,2,0,0,0,39,250,16.67,60.53,10,4
5,1998,23,22,5,0,3,3,67,472,27.76,68.01,14,1
6,1999,26,21,4,0,0,3,47,348,20.47,71.6,14,6
7,2000,22,17,6,0,0,1,30,168,15.27,71.79,14,4
8,2001,19,17,3,0,1,7,51*,229,16.36,63.09,15,2
9,2002,10,9,3,0,0,1,36*,109,18.17,64.12,16,0
10,Overall (10),179,161,32,1,14,19,108,3314,25.69,68.09,116,25
