,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1998,30,13,2,0,0,0,30,177,16.09,88.5,13,0
1,1999,11,7,1,0,0,0,20,43,7.17,50.0,1,0
2,2000,28,19,9,0,1,2,67*,221,22.1,99.1,12,0
3,2001,12,8,3,0,0,0,16,74,14.8,74.75,4,0
4,2002,26,19,8,0,1,3,95,261,23.73,100.77,7,0
5,2003,14,10,2,0,0,2,26*,104,13.0,88.14,3,0
6,2004,13,9,1,0,1,0,53,179,22.38,79.56,1,0
7,2005,16,8,0,0,0,1,21,61,7.63,67.78,4,0
8,2006,24,12,0,0,0,1,21,78,6.5,51.32,3,0
9,2007,17,8,0,0,0,1,40,71,8.88,58.2,4,0
10,Overall (10),191,113,26,0,3,10,95,1269,14.59,80.62,52,0
