,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1989,6,6,1,0,1,1,61,120,24.0,63.83,2,0
1,1990,12,10,2,0,0,2,42,256,32.0,67.37,6,0
2,1991,5,5,0,0,1,0,55,121,24.2,73.78,3,0
3,1992,18,15,1,1,4,2,103,510,36.43,70.34,17,3
4,1993,10,10,0,0,2,1,91,271,27.1,58.53,9,0
5,1994,10,10,0,0,2,0,66,289,28.9,68.16,10,1
6,1995,3,3,0,0,1,0,74,98,32.67,54.44,3,0
7,1996,16,16,3,0,1,0,64,403,31.0,67.73,13,1
8,1997,14,14,0,1,3,0,116,621,44.36,79.82,15,5
9,1998,11,11,1,0,3,0,74,324,32.4,66.8,14,1
10,1999,20,20,0,0,1,3,88,365,18.25,63.26,19,0
11,2000,12,12,3,2,3,1,101,553,61.44,67.69,15,0
12,2001,9,9,0,0,1,1,55,169,18.78,51.37,10,0
13,2002,13,11,3,0,2,1,83,290,36.25,88.15,11,2
14,2003,11,10,0,0,3,1,60,287,28.7,70.52,12,2
15,Overall (15),170,162,14,4,28,13,116,4677,31.6,68.37,159,15
