,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1992,5,4,0,0,0,1,8,13,3.25,27.08,1,0
1,1993,11,10,0,0,1,1,74,223,22.3,52.97,1,0
2,1994,6,6,1,1,0,0,131*,184,36.8,87.2,1,0
3,1995,6,6,1,0,1,0,68*,142,28.4,51.82,4,0
4,1996,16,15,1,0,2,2,75,278,19.86,,9,0
5,1997,22,22,4,0,5,1,86,649,36.06,73.67,12,0
6,1998,26,26,2,2,4,0,102,805,33.54,68.92,6,0
7,1999,26,25,2,0,4,2,97,703,30.57,63.62,10,0
8,2000,28,28,3,1,6,1,105*,960,38.4,70.12,10,0
9,2001,26,26,0,3,3,2,124,837,32.19,68.22,13,0
10,2002,15,15,0,0,4,1,84,384,25.6,61.54,9,0
11,2003,1,1,0,0,0,0,7,7,7.0,28.0,0,0
12,Overall (12),188,184,14,7,30,11,131*,5185,30.5,66.19,76,0
