,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1991,3,0,0,0,0,0,0,0,,,0,0
1,1992,18,3,1,0,0,1,5*,8,4.0,,2,0
2,1993,16,8,5,0,0,3,5*,12,4.0,26.09,2,0
3,1994,9,4,2,0,0,2,7*,9,4.5,45.0,1,0
4,1995,6,3,2,0,0,1,5*,5,5.0,22.73,0,0
5,1996,20,2,0,0,0,2,0,0,0.0,,3,0
6,1997,22,4,0,0,0,1,11,21,5.25,56.76,4,0
7,1998,13,2,1,0,0,0,13,19,19.0,44.19,2,0
8,1999,14,4,2,0,0,1,7,10,5.0,27.03,2,0
9,2000,8,1,1,0,0,0,1*,1,,,1,0
10,2001,7,2,0,0,0,0,3,4,2.0,26.67,1,0
11,2002,25,6,3,0,0,1,3,6,2.0,14.63,10,0
12,2003,3,1,1,0,0,0,0*,0,,,0,0
13,Overall (13),164,40,18,0,0,12,13,95,4.32,34.05,28,0
