,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1982,4,4,1,1,1,0,118,279,93.0,86.92,0,0
1,1983,20,19,3,2,2,2,108*,648,40.5,73.72,10,0
2,1984,10,10,1,0,3,1,97*,339,37.67,67.13,0,0
3,1985,9,9,3,0,3,1,81,303,50.5,91.82,1,0
4,1986,8,8,0,0,0,1,45,186,23.25,55.86,1,0
5,1987,25,24,5,0,6,1,77*,859,45.21,75.55,7,0
6,1988,4,4,1,0,1,0,66,109,36.33,85.83,2,0
7,1989,9,9,1,1,2,2,100*,349,43.63,79.32,4,0
8,1990,16,14,1,0,4,0,72,422,32.46,70.22,3,0
9,1991,5,5,0,0,2,0,62,216,43.2,95.15,2,0
10,1992,12,12,0,0,2,0,60,300,25.0,75.38,1,0
11,Overall (11),122,118,16,4,26,8,118,4010,39.31,75.69,31,0
