,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1999,9,6,0,0,1,2,50,100,16.67,75.76,0,0
1,2000,11,9,1,0,1,1,84,206,25.75,90.75,4,0
2,2001,8,6,1,0,0,0,46,144,28.8,80.0,2,0
3,2002,18,17,1,0,3,0,52,397,24.81,95.89,9,0
4,2003,20,20,6,0,6,1,70*,631,45.07,90.14,10,0
5,2004,14,13,2,3,2,0,123,633,57.55,102.43,3,0
6,2005,18,15,1,0,2,1,87,490,35.0,78.15,4,0
7,2006,7,7,0,0,0,1,41,102,14.57,67.55,1,0
8,2007,22,19,2,0,1,1,72*,387,22.76,79.96,8,0
9,2008,11,8,2,0,2,1,78*,301,50.17,109.06,2,0
10,2009,3,2,0,0,0,1,3,3,1.5,25.0,4,0
11,Overall (11),141,122,16,3,18,9,123,3394,32.02,88.82,47,0
