,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1992,11,11,2,1,2,0,115*,374,41.56,64.71,10,2
1,1993,13,12,0,0,1,1,56,270,22.5,63.68,4,1
2,1994,6,6,0,0,2,0,76,225,37.5,77.32,4,0
3,1995,6,6,0,0,2,0,73,163,27.17,66.8,14,2
4,1996,16,16,1,0,4,1,82,372,24.8,68.51,5,2
5,1997,22,21,1,0,6,1,81,766,38.3,71.26,23,6
6,1998,26,26,2,0,7,1,95,772,32.17,75.24,13,8
7,1999,26,25,3,0,9,5,99*,852,38.73,80.23,19,7
8,2000,32,32,2,1,6,1,120*,943,31.43,69.8,18,2
9,2001,33,33,3,1,7,1,142*,1060,35.33,81.48,25,2
10,2002,14,13,2,1,6,2,145,657,59.73,88.54,5,0
11,2003,8,7,0,0,3,0,71,332,47.43,72.33,1,0
12,Overall (12),213,208,16,4,55,13,145,6786,35.34,74.6,141,32
