,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2008,2,2,0,0,0,1,31,31,15.5,79.49,1,0
1,2009,16,14,2,0,3,0,52*,344,28.67,77.65,5,0
2,2010,14,10,4,0,3,2,77*,291,48.5,85.34,5,0
3,2011,26,21,6,0,2,2,62,505,33.67,79.65,5,0
4,2012,27,23,9,0,4,3,80*,534,38.14,92.23,6,0
5,2013,28,21,3,0,4,2,74*,585,32.5,80.69,4,0
6,2014,32,31,11,1,9,0,139*,1244,62.2,89.43,8,0
7,2015,22,17,3,0,2,2,70*,438,31.29,85.71,5,0
8,2016,13,12,1,0,5,1,95,520,47.27,83.2,4,0
9,2017,15,14,5,1,3,0,111*,573,63.67,76.91,4,0
10,2018,8,8,2,0,2,0,97*,315,52.5,75.36,3,0
11,2019,1,1,0,0,0,0,1,1,1.0,10.0,0,0
12,Overall (12),204,174,46,2,37,13,139*,5381,42.04,83.28,50,0
