,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,7,2,0,0,0,2,0,0,0.0,,1,0
1,1991,3,0,0,0,0,0,0,0,,,1,0
2,1992,8,5,2,0,0,1,7*,18,6.0,62.07,3,0
3,1993,18,10,4,0,0,2,24,78,13.0,60.47,6,0
4,1994,24,8,4,0,0,0,18*,52,13.0,69.33,8,0
5,1995,12,5,1,0,0,1,12,23,5.75,69.7,2,0
6,1996,32,19,5,0,0,3,17,147,10.5,81.22,15,0
7,1997,25,19,6,0,0,3,21,124,9.54,65.61,12,0
8,1998,25,7,3,0,0,0,20,64,16.0,63.37,8,0
9,1999,30,13,7,0,0,0,15*,60,10.0,55.05,11,0
10,2000,24,14,3,0,0,1,26,150,13.64,62.24,6,0
11,2001,7,4,1,0,0,2,7*,8,2.67,33.33,0,0
12,2002,21,10,4,0,0,2,21*,70,11.67,67.31,6,0
13,2003,10,6,2,0,0,0,21,66,16.5,40.0,2,0
14,2004,13,6,3,0,0,0,9*,26,8.67,60.47,2,0
15,2005,5,3,1,0,0,0,24,44,22.0,62.86,1,0
16,2006,3,3,0,0,0,1,2,3,1.0,15.0,0,0
17,2007,4,2,1,0,0,0,3*,5,5.0,38.46,1,0
18,Overall (18),271,136,47,0,0,18,26,938,10.54,61.07,85,0
