,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,2,2,0,0,0,0,10,14,7.0,63.64,0,0
1,1997,4,3,1,0,1,0,67,72,36.0,73.47,1,0
2,1998,2,2,0,0,0,0,22,30,15.0,120.0,0,0
3,1999,10,9,1,0,0,1,27,70,8.75,46.98,6,0
4,2000,1,1,0,0,0,0,2,2,2.0,28.57,0,0
5,2001,9,7,2,0,0,0,27,79,15.8,47.31,0,0
6,2002,7,6,2,0,0,0,17*,40,10.0,35.09,2,0
7,2003,8,3,1,0,0,0,6,10,5.0,33.33,4,0
8,2004,1,0,0,0,0,0,0,0,,,0,0
9,2006,9,9,0,0,0,0,35,155,17.22,53.82,2,0
10,2007,3,2,0,0,0,0,15,29,14.5,52.73,3,0
11,2008,4,2,0,0,0,0,3,5,2.5,22.73,1,0
12,Overall (12),60,46,7,0,1,1,67,506,12.97,51.79,19,0
