,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1984,6,6,2,0,1,0,50*,105,26.25,67.74,5,0
1,1985,16,16,2,0,3,2,86,384,27.43,79.01,3,0
2,1986,12,10,0,0,1,0,52,147,14.7,63.64,4,0
3,1987,8,8,2,0,1,0,51,155,25.83,60.55,2,0
4,1988,16,15,0,0,5,0,88,520,34.67,80.37,6,0
5,1989,10,10,0,0,4,0,96,441,44.1,87.15,5,0
6,1990,15,15,1,1,2,1,104,470,33.57,96.51,4,0
7,1991,4,4,0,0,0,1,26,53,13.25,88.33,1,0
8,1992,19,18,2,1,2,0,105,538,33.63,83.02,3,0
9,1993,22,22,2,0,7,0,75*,699,34.95,77.07,1,0
10,1994,22,21,3,1,5,2,107*,712,39.56,84.56,7,0
11,1995,17,17,1,0,3,0,75,481,30.06,76.35,6,0
12,1996,30,29,5,4,5,2,145,1188,49.5,91.74,10,0
13,1997,28,27,4,3,8,1,134,1212,52.7,86.39,11,0
14,1998,22,22,0,1,5,3,105,694,31.55,74.7,7,0
15,1999,17,16,1,0,4,1,81,394,26.27,67.93,7,0
16,2000,4,4,1,0,1,0,96*,141,47.0,78.33,2,0
17,2001,7,6,0,0,0,0,37,96,16.0,68.09,2,0
18,2002,18,17,4,0,4,2,77*,464,35.69,79.18,2,0
19,2003,15,13,0,0,3,2,92,390,30.0,82.28,7,0
20,Overall (20),308,296,30,11,64,17,145,9284,34.9,81.13,95,0
