,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1982,4,4,2,0,0,0,42,68,34.0,78.16,0,0
1,1983,10,8,1,0,1,3,55*,145,20.71,80.56,3,0
2,1984,7,7,1,0,1,0,50*,138,23.0,66.35,3,0
3,1985,13,13,3,0,2,0,64,283,28.3,88.44,1,0
4,1986,12,11,2,0,2,0,74*,324,36.0,76.96,2,0
5,1987,9,9,2,0,3,1,86*,342,48.86,78.08,3,0
6,1988,15,15,1,0,1,0,67,340,24.29,74.07,3,0
7,1989,10,10,1,0,2,1,71*,237,26.33,61.24,4,0
8,1990,15,15,5,0,5,0,85*,565,56.5,80.37,2,0
9,1991,4,4,0,0,1,0,50,152,38.0,72.73,1,0
10,1992,14,11,3,0,2,0,88*,360,45.0,80.72,2,0
11,1993,23,22,3,0,4,0,83*,572,30.11,79.67,5,0
12,1994,22,21,4,1,6,1,101*,840,49.41,86.24,5,0
13,1995,17,16,2,1,2,1,102*,452,32.29,81.0,4,0
14,1996,25,23,6,0,2,2,75*,607,35.71,78.93,6,0
15,1997,28,25,6,1,7,3,131*,815,42.89,78.44,6,0
16,1998,22,22,4,1,6,2,102,796,44.22,75.38,7,0
17,1999,19,19,1,0,2,4,76,420,23.33,70.12,6,0
18,Overall (18),269,255,47,4,49,18,131*,7456,35.85,77.9,63,0
