,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1985,1,1,0,0,0,1,0,0,0.0,,1,0
1,1986,9,9,1,0,2,0,68,252,31.5,52.94,4,0
2,1987,8,8,0,0,2,0,54,246,30.75,58.43,0,0
3,1988,11,11,0,0,1,3,60,209,19.0,47.5,7,0
4,1989,8,8,0,0,2,1,83,248,31.0,62.94,2,0
5,1990,15,14,0,0,2,0,88,396,28.29,,3,0
6,1991,4,4,0,0,1,0,81,163,40.75,80.3,3,0
7,1992,19,18,0,0,3,2,76,447,24.83,60.9,6,0
8,1993,14,14,2,0,1,1,90,293,24.42,60.91,5,0
9,1994,14,14,2,1,1,1,117*,373,31.08,60.26,5,0
10,1995,17,17,0,1,3,1,108,529,31.12,66.62,5,0
11,1996,27,25,0,0,4,2,87,746,29.84,60.95,8,0
12,Overall (12),147,143,5,2,22,12,117*,3902,28.28,60.88,49,0
