,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,3,3,0,0,0,0,30,62,20.67,38.27,0,0
1,2010,13,12,2,0,2,1,64,284,28.4,60.94,6,0
2,2011,2,2,0,0,0,0,15,20,10.0,58.82,0,0
3,2012,4,4,1,0,1,1,66,98,32.67,61.25,3,0
4,2013,4,4,1,0,0,0,28,47,15.67,45.19,1,0
5,2014,9,9,1,0,1,0,90*,267,33.38,69.53,1,0
6,2015,15,15,0,0,1,1,54,250,16.67,61.12,1,0
7,2016,12,12,0,0,1,2,57,174,14.5,55.59,1,0
8,2017,16,15,0,1,1,0,101,357,23.8,72.71,1,0
9,2018,16,12,1,0,1,1,67,228,20.73,79.44,4,0
10,2019,8,8,3,0,3,0,82*,291,58.2,72.93,6,0
11,Overall (11),102,96,9,1,11,6,101,2078,23.89,64.76,24,0
