,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,7,7,1,0,0,1,15,41,6.83,52.56,1,0
1,1997,17,8,2,0,1,0,59*,146,24.33,100.0,6,0
2,1998,25,21,6,0,1,2,65*,265,17.67,68.3,9,0
3,1999,27,22,5,0,0,1,37,343,20.18,79.03,5,0
4,2000,23,16,2,0,1,2,67,278,19.86,,9,0
5,2001,12,10,3,0,0,3,38*,133,19.0,107.26,4,0
6,2002,12,10,1,0,0,0,32,103,11.44,50.0,3,0
7,2003,6,5,2,0,0,0,30,78,26.0,83.87,0,0
8,2004,5,4,1,0,0,0,26*,48,16.0,109.09,0,0
9,2005,5,4,2,0,0,0,40*,57,28.5,95.0,0,0
10,2007,4,3,1,0,0,0,26*,29,14.5,54.72,0,0
11,Overall (11),143,110,26,0,3,9,67,1521,18.11,76.51,37,0
