,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2007,10,4,3,0,0,1,7*,15,15.0,33.33,2,0
1,2008,4,2,1,0,0,0,1,1,1.0,20.0,1,0
2,2009,6,0,0,0,0,0,0,0,,,1,0
3,2010,3,2,2,0,0,0,6*,9,,34.62,0,0
4,2011,12,6,4,0,0,1,5*,9,4.5,32.14,2,0
5,2012,2,2,1,0,0,0,1,1,1.0,100.0,0,0
6,2013,5,2,1,0,0,0,4,5,5.0,100.0,0,0
7,2014,2,0,0,0,0,0,0,0,,,0,0
8,2016,2,2,2,0,0,0,18*,18,,90.0,0,0
9,2017,2,1,0,0,0,0,1,1,1.0,12.5,2,0
10,2018,12,5,1,0,0,2,4,6,1.5,27.27,7,0
11,2019,10,5,3,0,0,0,9,20,10.0,54.05,1,0
12,Overall (12),70,31,18,0,0,4,18*,85,6.54,43.15,16,0
