,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,17,17,0,0,4,1,74,402,23.65,53.74,2,0
1,2005,12,12,0,0,1,0,58,282,23.5,59.12,4,0
2,2006,28,28,5,0,5,1,98,807,35.09,73.43,25,9
3,2007,13,12,1,0,1,0,50,299,27.18,55.89,10,3
4,2008,5,5,0,0,1,0,55,139,27.8,68.81,2,0
5,2009,17,17,3,1,5,3,118*,590,42.14,84.05,5,6
6,2010,20,20,2,2,3,1,145*,723,40.17,79.28,12,0
7,2011,17,17,2,3,4,2,128*,743,49.53,85.6,3,0
8,2012,3,3,0,0,2,0,65,127,42.33,92.03,2,0
9,2013,14,14,1,0,1,4,79,302,23.23,70.23,21,1
10,2014,15,15,1,0,4,1,79,411,29.36,75.69,8,1
11,2015,6,6,0,2,1,0,138,433,72.17,106.91,4,0
12,2018,21,21,0,2,4,1,138,898,42.76,87.61,19,9
13,Overall (13),188,187,15,10,36,14,145*,6156,35.79,76.15,117,29
