,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,9,9,0,0,0,1,37,103,11.44,57.54,6,1
1,2003,28,21,7,0,1,4,51*,270,19.29,59.21,41,0
2,2004,20,12,5,0,1,1,56*,244,34.86,79.22,28,2
3,2005,19,16,2,0,2,0,51*,409,29.21,96.69,20,2
4,2006,14,13,0,0,0,0,45,194,14.92,94.63,14,4
5,2007,33,28,6,0,5,2,96,799,36.32,101.14,31,3
6,2008,16,15,2,1,4,0,166,618,47.54,110.16,18,1
7,2009,24,23,0,1,3,3,131,750,32.61,80.21,20,0
8,2010,15,15,0,0,2,3,61,324,21.6,97.59,19,0
9,2011,17,15,3,1,2,0,101,470,39.17,91.62,25,1
10,2012,11,10,0,1,2,0,119,416,41.6,92.04,9,1
11,2013,15,14,2,0,4,1,79,420,35.0,98.82,15,0
12,2014,11,10,1,0,0,2,49*,183,20.33,112.27,0,0
13,2015,24,23,0,1,6,2,117,764,33.22,152.5,13,0
14,2016,4,4,0,0,0,1,47,119,29.75,172.46,3,0
15,Overall (15),260,228,28,5,32,20,166,6083,30.42,96.37,262,15
