,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,1,1,0,0,0,0,11,11,11.0,55.0,0,0
1,1991,11,11,0,0,1,1,54,263,23.91,62.17,6,0
2,1992,21,21,2,0,9,1,88*,794,41.79,67.86,8,0
3,1993,30,30,3,4,7,1,153,1349,49.96,72.33,21,0
4,1994,14,14,0,0,4,0,89,479,34.21,80.78,9,0
5,1995,15,14,2,2,6,0,169,806,67.17,96.07,4,0
6,1996,15,15,3,3,2,0,146*,692,57.67,92.89,4,0
7,1997,18,17,2,2,5,3,103*,755,50.33,81.89,8,0
8,1998,8,8,1,1,3,0,110,386,55.14,88.13,2,0
9,1999,29,28,2,1,1,2,117,631,24.27,83.03,11,0
10,2000,11,10,0,0,4,0,87,359,35.9,81.78,2,0
11,2001,20,20,3,1,5,3,116*,732,43.06,73.86,7,0
12,2002,10,9,3,1,1,1,111,292,48.67,73.37,1,0
13,2003,21,21,2,3,4,0,116,888,46.74,84.09,12,0
14,2004,20,18,3,0,3,0,59*,484,32.27,82.03,7,0
15,2005,15,15,0,1,2,3,156,438,29.2,82.8,7,0
16,2006,28,26,5,0,4,1,87,660,31.43,76.21,5,0
17,2007,12,11,1,0,2,0,83,386,38.6,87.13,6,0
18,Overall (18),299,289,32,19,63,16,169,10405,40.49,79.51,120,0
