,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2008,1,1,1,0,0,0,10*,10,,90.91,0,0
1,2009,3,2,0,0,0,1,2,2,1.0,25.0,0,0
2,2011,4,4,0,0,0,1,35,68,17.0,69.39,4,0
3,2012,1,1,1,0,1,0,99*,99,,77.95,0,0
4,2013,7,7,0,0,0,1,39,106,15.14,46.09,2,0
5,2014,7,7,1,2,0,1,175,346,57.67,100.58,2,0
6,2015,10,9,0,0,0,4,22,53,5.89,59.55,4,0
7,2016,5,5,0,2,1,0,103,311,62.2,87.11,3,0
8,2017,8,8,1,1,2,0,154,324,46.29,76.24,3,0
9,2018,11,11,2,2,2,0,157*,534,59.33,99.81,5,0
10,2019,2,2,0,1,0,0,100,101,50.5,108.6,0,0
11,Overall (11),59,57,6,8,6,8,175,1954,38.31,84.33,23,0
