,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1987,11,9,3,0,1,0,57*,159,26.5,63.6,7,0
1,1988,22,18,6,1,2,1,113*,489,40.75,76.65,9,0
2,1989,6,5,1,0,0,0,33*,110,27.5,63.22,3,0
3,1990,9,8,4,0,0,0,32*,158,39.5,63.71,0,0
4,1991,19,18,0,0,2,1,77,379,21.06,71.78,7,0
5,1992,19,17,3,0,1,1,63,293,20.93,66.74,11,0
6,1993,29,25,7,0,3,1,69*,589,32.72,66.25,20,0
7,1994,10,10,2,1,5,0,111,513,64.13,95.18,4,0
8,1995,11,11,1,0,4,1,84,414,41.4,74.59,6,0
9,1996,8,8,3,0,1,0,93*,224,44.8,78.6,3,0
10,1997,18,17,4,3,2,1,110*,635,48.85,82.57,9,0
11,1998,8,8,1,0,2,0,66,281,40.14,83.88,4,0
12,1999,12,12,1,1,3,0,108,368,33.45,81.96,4,0
13,2001,20,18,1,0,2,0,72,534,31.41,72.95,11,0
14,2002,19,16,5,1,1,0,112*,516,46.91,91.65,17,0
15,2003,6,6,1,0,0,1,45,99,19.8,79.84,5,0
16,Overall (16),227,206,43,7,29,7,113*,5761,35.34,76.64,120,0
