,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,16,13,0,0,1,1,50,193,14.85,88.94,3,0
1,2007,6,5,1,0,0,0,28,80,20.0,58.82,2,0
2,2008,26,22,1,0,4,2,95,603,28.71,71.53,8,0
3,2009,20,20,2,0,1,2,67*,348,19.33,75.49,8,0
4,2010,14,9,3,0,1,0,55*,199,33.17,67.46,5,0
5,2011,5,3,0,0,0,0,17,20,6.67,80.0,2,0
6,2012,5,4,0,0,1,1,62,78,19.5,66.1,1,0
7,2015,3,2,0,0,0,0,12,20,10.0,58.82,1,0
8,2016,2,1,0,0,0,0,10,10,10.0,125.0,0,0
9,2017,5,5,0,0,0,1,40,73,14.6,62.93,1,0
10,Overall (10),102,84,7,0,8,7,95,1624,21.09,72.08,31,0
