,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1994,23,8,5,0,0,0,33,47,15.67,47.96,2,0
1,1995,10,8,5,0,0,0,27,72,24.0,104.35,2,0
2,1996,29,19,5,0,0,1,23,191,13.64,68.46,7,0
3,1997,21,8,2,0,0,4,18*,43,7.17,60.56,1,0
4,1998,12,8,1,0,0,1,19,69,9.86,84.15,3,0
5,1999,31,28,9,0,0,6,29*,232,12.21,72.27,7,0
6,2000,20,15,6,0,0,0,34*,210,23.33,82.03,5,0
7,2001,29,21,6,0,1,0,50*,215,14.33,71.19,4,0
8,2002,30,23,7,0,0,3,31,253,15.81,75.3,9,0
9,2003,23,19,7,0,0,1,28*,149,12.42,62.87,4,0
10,2004,21,11,2,0,0,3,24,105,11.67,82.03,4,0
11,2005,12,9,2,0,0,0,37*,117,16.71,73.13,2,0
12,2006,27,21,7,0,0,2,29*,168,12.0,77.78,6,0
13,2007,17,10,4,0,0,1,19*,63,10.5,70.79,3,0
14,2008,17,12,4,0,0,3,19,91,11.38,58.71,1,0
15,Overall (15),322,220,72,0,1,25,50*,2025,13.68,72.35,60,0
