,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1991,2,2,0,0,0,0,6,11,5.5,91.67,2,0
1,1992,8,6,3,0,0,0,42,72,24.0,76.6,5,0
2,1993,3,3,1,0,0,0,31,66,33.0,48.89,1,0
3,1994,9,8,0,0,1,0,70,211,26.38,84.74,4,0
4,1995,15,14,0,1,2,0,103,437,31.21,89.73,2,0
5,1996,20,20,1,0,2,0,71,507,26.68,79.84,7,0
6,1997,17,17,0,0,4,2,79,414,24.35,75.55,5,0
7,1998,21,18,1,0,3,1,67,391,23.0,74.62,5,0
8,1999,20,18,3,1,2,1,115,579,38.6,81.78,3,0
9,2000,21,17,3,1,2,1,102*,523,37.36,87.17,10,0
10,2001,1,1,0,0,0,0,5,5,5.0,50.0,0,0
11,2002,14,14,2,1,3,2,102*,398,33.17,94.09,5,0
12,2003,24,22,3,0,2,0,84*,585,30.79,85.9,6,0
13,2004,23,19,5,0,3,1,74,429,30.64,92.86,9,0
14,2005,14,11,2,0,2,1,69,282,31.33,110.16,1,0
15,2006,3,3,1,0,0,0,28,40,20.0,93.02,1,0
16,Overall (16),215,193,25,4,26,9,115,4950,29.46,84.37,66,0
