,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1999,7,7,0,0,0,1,22,58,8.29,45.31,0,0
1,2000,13,12,1,0,1,1,58*,273,24.82,67.41,6,0
2,2001,19,19,0,1,6,2,152,722,38.0,79.52,8,0
3,2002,23,22,0,3,7,0,140,1097,49.86,88.61,14,0
4,2003,21,21,2,3,6,2,153*,981,51.63,78.04,8,0
5,2004,23,22,3,2,2,1,152*,722,38.0,71.13,9,0
6,2005,17,17,0,2,2,3,132,563,33.12,88.66,9,0
7,2006,32,32,3,4,4,5,133*,1217,41.97,83.82,20,0
8,2007,21,20,3,0,6,1,85*,611,35.94,82.46,7,0
9,2008,14,13,1,3,3,1,122,632,52.67,91.2,5,0
10,2009,15,15,1,1,2,2,135,553,39.5,117.66,4,0
11,2010,15,15,1,0,3,1,88,456,32.57,97.02,5,0
12,2011,8,8,1,0,1,1,80,202,28.86,91.4,4,0
13,2012,11,11,1,1,2,0,125,345,34.5,89.84,6,0
14,2013,16,16,0,1,0,1,109,311,19.44,85.67,3,0
15,2014,3,3,0,0,1,0,58,67,22.33,65.69,1,0
16,2015,11,11,0,1,1,1,215,411,37.36,116.76,5,0
17,2017,6,6,0,0,1,0,94,199,33.17,113.71,3,0
18,2018,9,9,0,1,1,1,123,307,34.11,94.75,3,0
19,2019,5,4,0,2,2,0,162,424,106.0,134.18,0,0
20,Overall (20),289,283,17,25,51,24,215,10151,38.16,87.14,120,0
