,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,7,6,1,0,0,1,17*,51,10.2,42.15,2,0
1,1991,6,6,2,0,1,0,56,138,34.5,73.8,0,0
2,1992,19,16,6,0,1,0,68*,290,29.0,62.23,7,0
3,1993,4,4,0,0,0,2,18,22,5.5,46.81,0,0
4,1994,21,17,5,0,1,1,50*,321,26.75,67.15,4,0
5,1996,18,17,2,1,0,0,130,387,25.8,74.57,9,0
6,1997,17,17,10,0,3,1,77*,477,68.14,68.93,7,0
7,1998,23,19,6,0,3,0,55,423,32.54,74.34,13,0
8,1999,26,18,7,0,0,1,45*,410,37.27,71.43,7,0
9,2000,24,18,6,0,1,1,59*,391,32.58,75.19,9,0
10,2001,23,21,6,0,2,0,56,439,29.27,61.31,12,0
11,2002,28,27,5,0,3,3,63*,606,27.55,61.96,17,0
12,2003,22,19,5,0,0,2,46,295,21.07,55.66,5,0
13,2004,12,8,1,0,1,0,55,129,18.43,69.35,4,0
14,Overall (14),250,213,62,1,16,12,130,4379,29.0,66.52,96,0
