,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,3,2,0,0,0,1,2,2,1.0,6.9,0,0
1,2005,8,4,4,0,0,0,3*,7,,23.33,0,0
2,2006,3,2,1,0,0,0,1,1,1.0,4.55,0,0
3,2007,9,6,1,0,0,1,4,9,1.8,47.37,2,0
4,2008,7,5,3,0,0,2,1*,2,1.0,22.22,1,0
5,2009,7,3,3,0,0,0,1*,2,,15.38,2,0
6,2010,12,6,2,0,0,2,6,8,2.0,34.78,2,0
7,2011,13,5,3,0,0,0,3*,7,3.5,26.92,3,0
8,2013,2,2,2,0,0,0,2*,2,,40.0,0,0
9,2015,4,0,0,0,0,0,0,0,,,0,0
10,2016,3,1,0,0,0,0,2,2,2.0,66.67,0,0
11,2017,8,3,0,0,0,1,3,4,1.33,22.22,1,0
12,2018,1,0,0,0,0,0,0,0,,,0,0
13,2019,2,0,0,0,0,0,0,0,,,0,0
14,Overall (14),82,39,19,0,0,7,6,46,2.3,23.35,11,0
