,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1973,2,1,0,0,0,0,31,31,31.0,96.88,1,0
1,1975,6,4,0,1,1,0,102,159,39.75,98.15,4,0
2,1976,3,3,0,0,1,0,79,126,42.0,105.0,0,0
3,1977,1,1,1,0,0,0,45*,45,,59.21,1,0
4,1979,8,6,1,0,1,1,73*,143,28.6,79.01,7,0
5,1980,9,7,2,0,0,0,34*,96,19.2,65.31,9,0
6,1981,7,7,2,0,2,0,80*,240,48.0,80.54,3,0
7,1982,8,8,4,0,1,0,63*,249,62.25,81.91,5,0
8,1983,15,10,2,0,0,0,41,184,23.0,85.58,5,0
9,1984,14,12,2,0,2,0,65,336,33.6,69.42,4,0
10,1985,14,10,5,0,3,0,89*,368,73.6,88.67,0,0
11,Overall (11),87,69,19,1,11,1,102,1977,39.54,81.22,39,0
