,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,9,7,2,0,0,1,27,84,16.8,84.0,2,0
1,2002,7,6,0,0,0,0,19,64,10.67,44.44,0,0
2,2003,12,9,1,0,0,2,29,98,12.25,56.32,6,0
3,2006,12,9,0,0,0,0,45,177,19.67,68.34,5,0
4,2007,17,12,2,0,1,0,68*,277,27.7,76.52,9,0
5,2009,18,17,2,0,4,2,78*,477,31.8,75.71,6,0
6,2010,11,11,1,0,2,0,86*,340,34.0,63.91,7,0
7,2011,8,8,1,0,3,0,98*,304,43.43,65.66,3,0
8,2012,2,2,0,0,0,0,29,39,19.5,65.0,1,0
9,2013,6,6,0,0,1,1,57,118,19.67,62.43,3,0
10,2014,2,2,0,0,0,0,37,66,33.0,97.06,0,0
11,Overall (11),104,89,9,0,11,6,98*,2044,25.55,68.57,42,0
