,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1985,10,1,0,0,0,0,7,7,7.0,,3,0
1,1986,11,1,0,0,0,0,2,2,2.0,,3,0
2,1987,21,11,6,0,0,1,9*,39,7.8,72.22,1,0
3,1988,20,7,2,0,0,0,18,28,5.6,48.28,2,0
4,1989,21,7,3,0,0,0,14,53,13.25,123.26,3,0
5,1990,7,0,0,0,0,0,0,0,,,0,0
6,1991,7,7,3,0,0,2,29*,37,9.25,78.72,1,0
7,1992,1,1,1,0,0,0,0*,0,,,0,0
8,1993,23,5,1,0,0,0,12,37,9.25,62.71,2,0
9,1994,12,7,2,0,0,2,30,37,7.4,102.78,3,0
10,1995,12,4,3,0,0,0,6*,12,12.0,80.0,2,0
11,1996,20,11,5,0,0,3,9*,34,5.67,56.67,4,0
12,1997,18,4,2,0,0,1,3,5,2.5,,2,0
13,1998,2,2,1,0,0,1,1*,1,1.0,25.0,0,0
14,1999,17,9,4,0,0,0,6,11,2.2,26.83,1,0
15,2000,3,2,0,0,0,1,18,18,9.0,200.0,0,0
16,Overall (16),205,79,33,0,0,11,30,321,6.98,71.18,27,0
