,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1997,8,8,0,0,2,0,86,272,34.0,66.5,3,0
1,1998,23,21,1,0,2,0,59,467,23.35,66.24,7,0
2,1999,17,17,0,0,1,0,73,325,19.12,60.52,4,0
3,2000,23,20,2,0,3,0,78,361,20.06,75.21,4,0
4,2001,23,22,3,1,3,2,104*,666,35.05,83.67,4,0
5,2002,28,28,0,1,5,2,105,851,30.39,74.65,8,0
6,2003,14,13,1,0,2,4,82*,273,22.75,68.08,5,0
7,2004,21,18,6,0,4,0,81,484,40.33,83.74,4,0
8,2005,18,17,0,0,3,1,66,449,26.41,83.46,4,0
9,2006,1,1,0,0,0,0,2,2,2.0,40.0,0,0
10,2007,21,18,3,1,3,0,117,557,37.13,91.31,1,0
11,Overall (11),197,183,16,3,28,9,117,4707,28.19,75.93,44,0
