,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1988,13,7,5,0,0,0,23,42,21.0,44.68,7,0
1,1989,22,11,5,0,0,1,26*,82,13.67,66.13,4,0
2,1990,4,1,1,0,0,0,1*,1,,,2,0
3,1991,18,14,5,0,0,3,21*,103,11.44,59.54,2,0
4,1992,20,12,5,0,0,2,24*,94,13.43,79.66,3,0
5,1993,24,7,3,0,0,2,19*,39,9.75,72.22,10,0
6,1994,3,1,0,0,0,0,10,10,10.0,55.56,1,0
7,1995,13,7,2,0,0,1,10,21,4.2,75.0,2,0
8,1996,19,12,4,0,0,2,17,64,8.0,73.56,2,0
9,1997,12,7,3,0,0,1,31*,67,16.75,57.76,3,0
10,1998,3,2,1,0,0,0,14,17,17.0,80.95,2,0
11,1999,19,11,0,0,0,0,23,84,7.64,66.14,6,0
12,2000,6,4,2,0,0,1,11,15,7.5,68.18,1,0
13,Overall (13),176,96,36,0,0,13,31*,639,10.65,64.87,45,0
