,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2005,2,2,0,0,0,0,3,4,2.0,26.67,0,0
1,2006,2,0,0,0,0,0,0,0,,,0,0
2,2007,4,0,0,0,0,0,0,0,,,0,0
3,2008,12,4,3,0,0,0,6,15,15.0,68.18,2,0
4,2009,15,4,1,0,0,1,17*,30,10.0,111.11,3,0
5,2010,8,4,1,0,0,2,35,37,12.33,119.35,2,0
6,2011,14,8,1,0,0,1,20,55,7.86,57.29,4,0
7,2012,9,3,1,0,0,0,3*,5,2.5,38.46,4,0
8,2013,13,6,0,0,0,2,15,30,5.0,42.86,6,0
9,2014,14,8,2,0,0,1,23,60,10.0,57.69,1,0
10,2015,19,7,1,0,0,0,16,56,9.33,71.79,4,0
11,2016,4,1,1,0,0,0,6*,6,,120.0,0,0
12,2018,5,3,1,0,1,0,60,67,33.5,67.68,2,0
13,2019,4,1,0,0,0,1,0,0,0.0,,0,0
14,Overall (14),125,51,12,0,1,8,60,365,9.36,64.95,28,0
