,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1997,8,6,3,0,0,0,25*,71,23.67,62.28,4,0
1,1998,18,10,4,0,0,1,21,65,10.83,69.89,6,0
2,1999,17,13,3,0,0,2,22*,72,7.2,82.76,1,0
3,2000,13,6,0,0,0,2,22,48,8.0,102.13,3,0
4,2001,16,12,4,0,0,2,19,86,10.75,82.69,4,0
5,2002,23,18,7,0,0,2,30,139,12.64,66.83,6,0
6,2003,25,12,2,0,0,3,19,107,10.7,62.21,6,0
7,2004,25,10,5,0,0,0,33,135,27.0,90.0,2,0
8,2005,21,17,5,0,1,5,83,257,21.42,98.47,9,0
9,2006,13,10,3,0,2,1,79,221,31.57,75.17,7,0
10,2007,31,16,4,0,0,2,18,110,9.17,85.94,6,0
11,2008,16,9,3,0,0,0,42,145,24.17,76.72,6,0
12,2009,22,14,5,0,0,1,48,259,28.78,93.84,8,0
13,2010,15,15,1,0,1,1,70,324,23.14,85.04,7,0
14,2011,9,4,2,0,0,0,44,66,33.0,101.54,2,0
15,2013,3,1,0,0,0,0,5,5,5.0,31.25,1,0
16,2014,5,4,1,0,0,1,27,41,13.67,105.13,2,0
17,2015,15,10,5,0,0,0,35,102,20.4,112.09,8,0
18,Overall (18),295,187,57,0,4,23,83,2253,17.33,82.98,88,0
