,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,4,2,0,0,0,0,21,40,20.0,129.03,1,0
1,2010,6,6,2,0,1,0,74,179,44.75,77.83,2,0
2,2011,24,23,3,0,5,3,86,637,31.85,69.85,3,0
3,2012,11,11,1,0,1,1,51,217,21.7,53.71,4,0
4,2013,24,24,3,1,8,2,100*,788,37.52,74.62,13,0
5,2014,10,10,0,1,1,0,124,310,31.0,70.78,2,0
6,2015,5,5,1,0,0,1,49*,112,28.0,63.64,2,0
7,2016,10,10,0,1,1,0,102,312,31.2,66.81,3,0
8,2018,3,3,0,0,0,0,27,56,18.67,46.67,0,0
9,2019,10,9,3,0,1,0,61,169,28.17,88.02,3,0
10,Overall (10),107,103,13,3,18,7,124,2820,31.33,70.04,33,0
