,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1994,5,2,1,0,0,0,8*,10,10.0,66.67,1,0
1,1995,5,5,1,0,0,0,45,68,17.0,97.14,1,0
2,1996,18,12,3,0,0,1,26*,95,10.56,68.84,2,0
3,1997,10,5,2,0,0,0,16,30,10.0,73.17,0,0
4,1998,6,5,2,0,0,1,15,18,6.0,75.0,0,0
5,1999,21,14,5,0,0,1,23*,108,12.0,59.02,6,0
6,2000,21,11,7,0,0,2,6*,30,7.5,50.0,2,0
7,2001,9,8,3,0,0,1,40*,56,11.2,40.58,2,0
8,2002,16,9,5,0,0,3,16*,40,10.0,64.52,3,0
9,2003,10,1,1,0,0,0,14*,14,,46.67,0,0
10,2004,20,7,3,0,0,1,13,45,11.25,57.69,6,0
11,2005,16,6,5,0,0,0,46*,76,76.0,84.44,2,0
12,2006,2,2,0,0,0,0,18,19,9.5,105.56,0,0
13,Overall (13),159,87,38,0,0,10,46*,609,12.43,64.31,25,0
