,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,2,0,0,0,0,0,0,0,,,3,0
1,2007,3,1,1,0,0,0,18*,18,,138.46,0,0
2,2008,12,10,1,0,1,0,51,136,15.11,86.62,3,0
3,2009,12,11,3,0,0,0,40,197,24.63,84.91,7,0
4,2010,14,10,6,0,1,2,58*,157,39.25,121.71,10,0
5,2011,27,22,5,0,0,2,41*,212,12.47,95.93,10,0
6,2012,17,15,4,0,2,0,84,343,31.18,117.06,14,0
7,2013,20,19,7,0,2,0,63*,398,33.17,100.25,11,0
8,2014,8,8,2,0,1,0,61,126,21.0,100.8,6,0
9,2015,11,9,1,0,2,0,89,284,35.5,93.73,3,0
10,Overall (10),126,105,30,0,9,4,89,1871,24.95,100.05,67,0
