,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1978,4,4,1,1,1,0,114*,201,67.0,81.05,3,0
1,1979,14,12,3,1,1,1,101*,302,33.56,75.88,6,0
2,1980,6,6,0,0,0,0,27,76,12.67,70.37,1,0
3,1981,7,7,0,0,1,0,53,141,20.14,55.51,1,0
4,1982,7,6,0,0,1,0,76,189,31.5,71.86,4,0
5,1983,20,20,3,4,4,1,158,1086,63.88,86.46,7,0
6,1984,10,10,0,0,0,0,36,201,20.1,62.04,6,0
7,1985,9,9,0,1,0,1,102,231,25.67,77.26,2,0
8,1986,8,8,0,0,1,3,81,137,17.13,67.16,1,0
9,1987,17,17,1,0,1,0,50,341,21.31,77.5,8,0
10,1989,3,3,0,0,1,0,61,125,41.67,65.1,1,0
11,1990,5,5,0,0,1,0,50,86,17.2,61.43,3,0
12,1991,4,4,0,0,0,0,26,54,13.5,58.7,1,0
13,Overall (13),114,111,8,7,12,6,158,3170,30.78,75.15,44,0
