,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2005,4,3,1,0,1,0,74*,127,63.5,83.01,3,1
1,2006,14,12,4,0,0,0,38,173,21.63,79.0,19,0
2,2007,23,16,4,0,1,1,52,173,14.42,81.6,39,2
3,2008,11,9,3,0,0,1,31,83,13.83,66.4,12,1
4,2009,15,11,2,0,0,0,45,184,20.44,92.0,18,1
5,2010,14,11,2,0,0,0,30,159,17.67,64.11,18,0
6,2011,8,6,0,0,1,0,96,168,28.0,76.02,10,0
7,2012,5,3,0,0,0,0,22,38,12.67,46.34,6,1
8,2013,8,5,2,0,0,0,24*,50,16.67,66.67,7,0
9,2014,13,11,2,2,2,0,169,516,57.33,102.58,17,0
10,2015,14,13,2,0,2,2,57,253,23.0,81.61,22,0
11,2016,10,10,0,0,1,0,91,276,27.6,70.77,10,1
12,Overall (12),139,110,22,2,8,4,169,2200,25.0,80.35,181,7
