,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1982,2,1,1,0,0,0,34*,34,,75.56,0,0
1,1983,2,1,0,0,0,0,11,11,11.0,100.0,0,0
2,1984,3,3,1,0,0,0,8,16,8.0,34.78,3,0
3,1985,2,2,0,0,0,0,13,17,8.5,23.61,2,0
4,1986,4,4,2,0,0,0,49*,105,52.5,65.63,1,0
5,1987,3,2,0,0,0,0,12,20,10.0,54.05,0,0
6,1988,4,3,2,0,0,0,39,81,81.0,83.51,1,0
7,1989,5,4,2,0,0,1,25*,55,27.5,80.88,0,0
8,1990,1,1,1,0,0,0,30*,30,,176.47,0,0
9,1991,3,1,0,0,0,0,1,1,1.0,33.33,1,0
10,1992,13,7,3,0,0,0,18*,49,12.25,98.0,3,0
11,1993,2,1,0,0,0,0,6,6,6.0,60.0,0,0
12,Overall (12),44,30,12,0,0,1,49*,425,23.61,68.99,11,0
