,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1978,1,1,0,1,0,0,148,148,148.0,108.82,0,0
1,1979,9,9,0,0,2,1,80,298,33.11,54.28,2,0
2,1980,10,10,0,0,1,0,50,171,17.1,50.59,2,0
3,1981,7,7,1,0,2,0,84,294,49.0,66.07,5,0
4,1982,9,9,0,0,1,0,52,131,14.56,42.26,2,0
5,1983,16,16,2,0,4,0,97,520,37.14,63.57,10,0
6,1984,20,20,5,4,4,0,133*,813,54.2,58.66,2,0
7,1985,28,27,5,3,7,1,145*,1232,56.0,72.99,5,0
8,1986,11,11,2,0,4,0,77*,416,46.22,54.52,0,0
9,1987,19,19,1,1,3,1,105,562,31.22,52.43,6,0
10,1988,16,16,1,3,3,1,142*,746,49.73,72.71,2,0
11,1989,23,23,5,4,4,1,152*,1007,55.94,73.18,6,0
12,1990,8,8,1,0,3,0,67,283,40.43,64.32,1,0
13,1991,12,12,0,0,4,1,89,440,36.67,65.97,2,0
14,1992,20,20,3,0,6,1,96,645,37.94,54.34,8,0
15,1993,25,25,2,0,7,6,82,674,29.3,57.22,7,0
16,1994,4,4,0,1,2,0,115,268,67.0,81.71,0,0
17,Overall (17),238,237,28,17,57,13,152*,8648,41.38,63.09,60,0
