,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,19,6,5,0,0,1,12*,21,21.0,47.73,4,0
1,2002,22,11,5,0,0,2,8,30,5.0,40.54,6,0
2,2003,14,6,3,0,0,1,13*,30,10.0,85.71,1,0
3,2004,7,2,0,0,0,1,3,3,1.5,60.0,0,0
4,2005,15,3,3,0,0,0,4*,7,,43.75,0,0
5,2006,23,9,7,0,0,0,13,39,19.5,79.59,6,0
6,2007,23,10,5,0,0,1,20,59,11.8,58.42,4,0
7,2008,7,4,2,0,0,0,12,14,7.0,93.33,3,0
8,2009,4,2,0,0,0,0,19,28,14.0,90.32,1,0
9,2010,6,4,3,0,0,1,6*,8,8.0,44.44,2,0
10,2011,6,3,2,0,0,1,0*,0,0.0,,0,0
11,2012,1,1,0,0,0,1,0,0,0.0,,0,0
12,Overall (12),147,61,35,0,0,9,20,239,9.19,60.81,27,0
