,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1976,2,2,0,0,0,0,43,59,29.5,72.84,0,0
1,1978,2,2,0,0,0,0,34,37,18.5,47.44,0,0
2,1979,3,3,0,0,0,0,36,44,14.67,66.67,1,0
3,1980,5,5,0,0,0,0,22,54,10.8,28.42,4,0
4,1981,9,9,1,0,3,2,88*,342,42.75,67.32,5,0
5,1982,9,8,0,0,1,0,53,227,28.38,66.57,1,0
6,1983,8,8,3,0,1,0,54,188,37.6,77.05,1,0
7,1984,9,8,2,1,2,0,105,361,60.17,72.93,2,0
8,1985,14,14,3,0,4,1,89,432,39.27,78.4,5,0
9,1986,19,17,3,0,2,0,77*,477,34.07,61.23,6,0
10,1987,20,18,5,0,5,1,95*,618,47.54,72.88,5,0
11,1988,11,10,2,0,3,2,76*,271,33.88,68.78,2,0
12,1989,13,12,0,0,1,0,88,307,25.58,63.96,4,0
13,1990,4,4,0,0,1,1,54,91,22.75,73.39,1,0
14,1991,1,0,0,0,0,0,0,0,,,0,0
15,Overall (15),129,120,19,1,23,7,105,3508,34.73,67.74,37,0
