,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2010,4,4,2,1,0,0,111,143,71.5,85.12,4,1
1,2011,13,13,1,1,1,1,105*,297,24.75,74.44,7,0
2,2012,30,29,5,0,7,4,92*,845,35.21,74.38,7,0
3,2013,27,20,3,0,2,2,73,459,27.0,70.08,8,0
4,2014,15,15,2,0,2,1,64,308,23.69,76.05,6,1
5,2015,16,14,5,0,2,1,65*,325,36.11,82.28,8,1
6,2016,14,13,2,2,6,0,102,656,59.64,77.73,12,3
7,2017,15,14,0,0,1,2,59,255,18.21,59.16,6,1
8,2018,10,8,1,0,1,0,80,298,42.57,76.02,1,0
9,2019,2,2,0,0,0,0,10,13,6.5,43.33,0,0
10,Overall (10),146,132,21,4,22,11,111,3599,32.42,74.13,59,7
