,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,2,1,0,0,0,0,1,1,1.0,8.33,4,1
1,2006,4,3,0,0,0,0,17,42,14.0,55.26,3,0
2,2007,20,16,5,0,2,2,63,287,26.09,74.55,16,1
3,2009,10,8,2,0,1,0,67,223,37.17,76.63,3,2
4,2010,16,16,0,0,2,2,79,455,28.44,77.25,5,1
5,2013,15,12,4,0,2,0,69,255,31.88,70.44,15,1
6,2014,4,4,2,0,0,0,23,50,25.0,64.1,3,1
7,2017,8,7,4,0,2,1,64*,183,61.0,69.85,4,0
8,2018,7,6,2,0,0,0,44,167,41.75,73.57,2,0
9,2019,5,4,2,0,0,1,38*,75,37.5,98.68,6,0
10,Overall (10),91,77,21,0,9,6,79,1738,31.04,73.71,61,7
