,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1975,2,2,1,0,0,0,32*,40,40.0,70.18,1,0
1,1979,2,2,0,0,1,0,64,78,39.0,92.86,0,0
2,1982,8,8,1,0,1,1,52,169,24.14,81.25,3,0
3,1983,12,10,0,0,1,1,56,194,19.4,60.82,2,0
4,1984,7,7,0,0,0,0,20,63,9.0,46.67,0,0
5,1985,19,19,3,0,2,0,80,436,27.25,89.16,4,0
6,1986,12,10,1,0,0,2,35,158,17.56,66.11,2,0
7,1987,10,10,2,0,1,0,58,227,28.38,73.23,2,0
8,1988,5,4,1,0,1,0,60,135,45.0,93.1,0,0
9,1989,2,2,0,0,0,0,17,27,13.5,57.45,0,0
10,Overall (10),79,74,9,0,7,4,80,1527,23.49,75.11,14,0
