,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,19,10,3,0,0,2,33*,100,14.29,56.82,5,0
1,2005,13,13,3,0,0,1,41*,213,21.3,73.45,6,0
2,2006,24,19,6,1,2,2,112*,427,32.85,81.8,12,0
3,2007,19,17,4,0,0,1,45*,348,26.77,101.75,8,0
4,2008,13,12,0,0,0,0,40,203,16.92,75.19,6,0
5,2009,11,8,0,0,2,0,69,220,27.5,84.29,6,0
6,2010,8,8,0,0,1,1,74,204,25.5,89.87,1,0
7,2011,10,9,1,0,0,0,40,195,24.38,79.59,1,0
8,2012,12,11,0,0,2,1,77,255,23.18,71.83,7,0
9,2013,22,21,3,0,1,2,51,388,21.56,80.83,12,0
10,2014,13,13,4,1,2,1,106,415,46.11,94.75,9,0
11,Overall (11),164,141,24,2,10,11,112*,2968,25.37,82.31,73,0
