,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,3,3,0,0,0,0,13,31,10.33,62.0,3,0
1,2007,14,14,0,1,3,1,107,440,31.43,66.77,3,0
2,2011,11,11,0,0,2,0,88,306,27.82,66.38,0,0
3,2012,4,4,1,0,2,1,88,158,52.67,60.54,3,0
4,2013,7,7,2,1,1,0,116*,317,63.4,78.08,2,0
5,2014,2,2,0,0,0,1,25,25,12.5,50.0,2,0
6,2015,15,14,1,1,3,1,112,467,35.92,78.89,7,0
7,2016,7,7,2,2,1,0,160*,366,73.2,81.33,2,0
8,2017,9,9,0,0,1,0,55,239,26.56,69.88,4,0
9,2018,6,6,2,1,2,1,116*,273,68.25,76.04,1,0
10,Overall (10),78,77,8,6,15,5,160*,2622,38.0,72.23,27,0
