,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,15,14,1,0,3,3,77,308,23.69,85.08,5,0
1,2005,6,6,1,0,0,1,41,106,21.2,108.16,0,0
2,2006,28,24,2,0,2,3,70*,489,22.23,65.2,11,0
3,2007,17,16,2,0,2,0,77*,390,27.86,106.27,8,0
4,2008,12,12,1,0,0,1,42*,170,15.45,62.73,2,0
5,2009,25,24,2,0,5,1,79,630,28.64,99.68,8,0
6,2010,19,18,3,0,1,0,50,368,24.53,80.88,5,0
7,2011,17,16,2,0,0,0,47,282,20.14,76.84,6,0
8,2012,3,3,0,0,1,0,63,94,31.33,81.74,0,0
9,2013,11,8,2,0,1,2,50*,161,26.83,73.18,1,0
10,2014,16,15,4,0,3,2,90,392,35.64,73.55,12,0
11,2015,27,26,4,2,1,1,117,772,35.09,81.69,10,0
12,2016,9,8,0,0,0,2,41,67,8.38,57.26,1,0
13,2018,8,8,2,0,0,1,37,111,18.5,57.81,3,0
14,Overall (14),213,198,26,2,19,17,117,4340,25.23,80.01,72,0
