,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,1,1,0,0,1,0,99,99,99.0,73.88,0,0
1,2007,17,17,1,1,2,3,115,450,28.13,67.06,8,0
2,2008,3,3,0,0,0,0,35,51,17.0,66.23,0,0
3,2009,17,17,6,0,5,1,84*,507,46.09,85.21,8,0
4,2010,17,17,4,3,2,0,110*,691,53.15,93.89,8,0
5,2011,16,14,0,0,5,0,63,443,31.64,92.48,6,0
6,2012,15,12,6,0,2,1,89*,364,60.67,98.11,4,0
7,2013,21,20,4,1,2,1,124*,560,35.0,91.21,11,0
8,2014,23,22,0,1,3,1,106,560,25.45,84.08,9,0
9,2015,25,23,1,2,7,5,121,967,43.95,93.79,9,0
10,2016,15,13,2,0,2,0,68,328,29.82,87.0,5,0
11,2017,20,18,1,3,3,1,107,781,45.94,98.74,3,0
12,2018,22,22,4,0,7,1,92,756,42.0,93.8,5,0
13,2019,10,8,2,1,4,1,103,420,70.0,113.21,3,0
14,Overall (14),222,207,31,12,45,15,124*,6977,39.64,90.39,79,0
