,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,1,1,0,0,0,0,1,1,1.0,20.0,0,0
1,1998,2,2,0,0,0,1,24,24,12.0,61.54,0,0
2,1999,6,4,0,0,0,1,5,10,2.5,34.48,1,0
3,2000,11,8,6,0,0,0,13*,36,18.0,52.94,4,0
4,2001,14,11,4,0,0,0,19,87,12.43,56.13,3,0
5,2002,5,4,1,0,0,1,8,16,5.33,37.21,0,0
6,2003,7,1,1,0,0,0,10*,10,,90.91,1,0
7,2004,2,2,2,0,0,0,14*,18,,75.0,1,0
8,2006,6,6,1,0,0,0,20,49,9.8,50.52,3,0
9,2007,12,11,3,0,1,0,59*,113,14.13,64.2,5,0
10,2008,4,4,2,0,0,0,14,44,22.0,88.0,2,0
11,Overall (11),70,54,20,0,1,3,59*,408,12.0,58.54,20,0
