,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1993,2,2,0,0,0,0,7,11,5.5,22.0,1,0
1,1994,20,20,2,1,3,0,112*,610,33.89,59.05,4,0
2,1995,7,7,1,0,3,0,87,362,60.33,68.95,2,0
3,1996,29,29,4,6,4,1,188*,1442,57.68,83.64,12,1
4,1997,16,16,1,0,7,1,89,593,39.53,67.31,6,0
5,1998,18,18,1,1,3,3,103,561,33.0,75.91,5,0
6,1999,20,20,2,0,3,2,82,465,25.83,59.62,7,0
7,2000,36,36,3,2,13,1,115,1467,44.45,73.2,11,0
8,2001,13,13,1,2,4,0,133*,638,53.17,79.95,4,0
9,2002,18,18,1,1,2,2,102*,463,27.24,67.59,7,0
10,2003,6,6,3,0,3,1,69,186,62.0,85.71,2,0
11,Overall (11),185,185,19,13,45,11,188*,6798,40.95,72.04,61,1
