,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2007,1,1,0,0,0,0,13,13,13.0,54.17,0,0
1,2008,8,8,0,0,1,2,51,140,17.5,64.22,5,1
2,2009,7,7,1,0,1,1,51*,137,22.83,68.16,5,3
3,2010,9,8,1,1,2,0,113,317,45.29,79.85,6,2
4,2011,10,10,1,0,2,0,61,301,33.44,90.12,6,0
5,2012,4,4,1,0,0,0,27,45,15.0,48.91,1,1
6,2013,7,7,1,0,0,0,35*,61,10.17,55.96,6,1
7,2014,2,2,0,0,1,0,62,65,32.5,66.33,4,1
8,2015,15,14,2,0,3,1,80,349,29.08,84.71,15,1
9,2016,8,7,0,0,1,0,58,114,16.29,55.61,5,0
10,2017,16,14,1,0,0,2,41,215,16.54,64.37,8,0
11,2018,12,11,3,0,1,0,53,217,27.13,68.89,5,0
12,2019,6,6,1,0,0,0,34,98,19.6,69.5,7,0
13,Overall (13),105,99,12,1,12,6,113,2072,23.82,71.94,73,10
