,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,5,5,0,0,1,0,71,113,22.6,61.08,1,0
1,2005,6,6,0,1,0,1,103,181,30.17,88.73,0,0
2,2006,5,5,0,0,0,0,38,115,23.0,76.67,5,0
3,2007,21,21,3,1,5,2,101,634,35.22,74.68,6,0
4,2008,27,27,3,3,7,1,113,1119,46.63,90.53,8,0
5,2009,27,23,2,2,5,2,150*,848,40.38,92.58,7,0
6,2010,14,14,2,2,3,2,138*,670,55.83,93.97,5,0
7,2011,19,19,1,0,7,1,97,720,40.0,87.06,0,0
8,2012,16,16,0,2,5,2,102,685,42.81,81.94,4,0
9,2013,7,7,0,0,1,0,52,153,21.86,67.11,0,0
10,Overall (10),147,143,11,11,34,11,150*,5238,39.68,85.25,36,0
