,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1975,5,4,0,0,1,0,51,93,23.25,57.41,1,0
1,1976,1,1,0,0,0,0,43,43,43.0,67.19,0,0
2,1978,2,2,0,0,0,0,42,54,27.0,46.15,0,0
3,1979,2,2,1,0,1,0,63*,70,70.0,80.46,1,0
4,1980,5,5,0,0,0,1,46,127,25.4,57.47,0,0
5,1981,10,9,1,0,0,0,47,211,26.38,74.82,3,0
6,1982,3,3,0,0,0,0,34,53,17.67,56.99,2,0
7,1983,24,23,2,0,2,0,76,428,20.38,65.24,6,0
8,1984,5,5,0,0,1,0,72,156,31.2,54.93,0,0
9,1985,13,11,1,0,1,0,68,149,14.9,44.48,3,0
10,Overall (10),70,65,5,0,6,1,76,1384,23.07,60.15,16,0
