,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1975,5,5,0,0,1,0,55,129,25.8,53.09,1,0
1,1976,3,3,0,0,0,0,42,98,32.67,89.91,2,0
2,1977,1,1,0,0,0,0,8,8,8.0,53.33,1,0
3,1979,9,9,2,1,3,0,106*,429,61.29,63.84,1,0
4,1980,7,7,2,1,4,0,103,469,93.8,61.15,2,0
5,1981,4,4,0,1,0,0,103,148,37.0,59.2,1,0
6,1982,9,9,0,0,3,0,84,292,32.44,56.37,7,0
7,1983,15,15,2,2,5,0,115,749,57.62,67.3,3,0
8,1984,7,7,0,0,1,0,63,223,31.86,59.15,2,0
9,1985,8,8,1,1,2,0,110*,367,52.43,67.59,3,0
10,1986,11,11,0,0,3,2,74,330,30.0,63.71,6,0
11,1987,9,9,1,3,0,1,133*,446,55.75,82.29,3,0
12,1988,17,16,3,1,6,0,102*,782,60.15,71.35,10,0
13,1989,11,11,0,1,2,0,117,399,36.27,69.03,3,0
14,1990,6,6,1,0,1,0,77,156,31.2,45.35,0,0
15,1991,6,6,1,0,0,0,40*,109,21.8,48.88,0,0
16,Overall (16),128,127,13,11,31,3,133*,5134,45.04,64.92,45,0
