,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1991,3,3,1,0,1,0,86*,129,64.5,66.15,0,0
1,1992,18,17,3,0,5,1,83,499,35.64,89.11,11,0
2,1993,11,11,1,1,3,0,105*,410,41.0,78.85,7,0
3,1994,10,10,1,0,2,1,81,336,37.33,64.86,6,0
4,1995,5,5,0,0,2,0,91,197,39.4,65.23,1,0
5,1996,15,15,1,1,3,1,104*,534,38.14,78.65,7,0
6,1997,4,4,0,0,0,0,40,109,27.25,67.7,0,0
7,1998,9,9,0,0,2,1,86,263,29.22,73.06,2,0
8,1999,21,21,4,3,4,3,126*,794,46.71,75.4,17,0
9,2000,21,20,4,0,5,3,87*,516,32.25,74.89,12,0
10,2001,3,3,0,0,0,0,46,59,19.67,38.31,1,0
11,Overall (11),120,118,15,5,27,10,126*,3846,37.34,74.09,64,0
