,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,19,19,1,0,5,0,99,743,41.28,73.49,8,0
1,2003,19,18,0,0,6,0,71,600,33.33,77.02,9,0
2,2004,18,18,1,0,4,0,80,652,38.35,72.53,4,0
3,2005,22,22,2,5,2,1,134*,984,49.2,86.47,12,0
4,2006,21,21,1,1,3,4,119*,561,28.05,85.26,14,0
5,2007,26,25,2,0,12,3,96,1079,46.91,92.14,16,0
6,2008,11,11,2,1,5,0,103*,492,54.67,85.12,9,0
7,2009,13,13,0,1,4,0,141,502,38.62,96.35,5,0
8,2010,11,11,1,0,1,0,92,328,32.8,85.42,7,0
9,2011,15,15,0,0,2,0,77,419,27.93,65.16,11,0
10,2012,11,10,0,1,2,0,125,338,33.8,72.53,3,0
11,2013,11,11,0,1,1,0,116,291,26.45,72.75,7,0
12,Overall (12),197,194,10,10,47,8,141,6989,37.98,80.82,105,0
